"Time","Vhcl.YawAcc"
"C1","C1"
"s","rad/s^2"
29.261,0.3183098733
29.271,0.3169665039
29.281,0.318739146
29.291,0.3220846653
29.301,0.322827965
29.311,0.3222918212
29.321,0.3234362602
29.331,0.3241064548
29.341,0.3234986663
29.351,0.3242128193
29.361,0.3260781765
29.371,0.3267213702
29.381,0.3266183436
29.391,0.3276487887
29.401,0.3291569054
29.411,0.329585433
29.421,0.3296877742
29.431,0.3307622075
29.441,0.3317340612
29.451,0.3314907551
29.461,0.331309706
29.471,0.3325239122
29.481,0.3337368667
29.491,0.3337445557
29.501,0.3337714076
29.511,0.3347238302
29.521,0.3354061842
29.531,0.3350839615
29.541,0.3348850906
29.551,0.3353828192
29.561,0.3355297446
29.571,0.33493191
29.581,0.3345991671
29.591,0.3347952366
29.601,0.3345730007
29.611,0.3337667584
29.621,0.3332012892
29.631,0.3328828216
29.641,0.3319965303
29.651,0.3306227624
29.661,0.3295106888
29.671,0.328476876
29.681,0.3268471062
29.691,0.3249144256
29.701,0.3233524263
29.711,0.32174474
29.721,0.3193927407
29.731,0.3167773783
29.741,0.3144568205
29.751,0.3118470311
29.761,0.308493793
29.771,0.3050578833
29.781,0.3018971086
29.791,0.2982656956
29.801,0.2939991951
29.811,0.2899642587
29.821,0.2861314118
29.831,0.2815961242
29.841,0.2765371203
29.851,0.2718355358
29.861,0.2671408653
29.871,0.2616144717
29.881,0.2558210492
29.891,0.2505235374
29.901,0.2449701279
29.911,0.2385055274
29.921,0.2320577949
29.931,0.2262034267
29.941,0.2198253572
29.951,0.212461412
29.961,0.205435738
29.971,0.1990037262
29.981,0.1916812062
29.991,0.1835117936
30.001,0.1761633009
30.011,0
30.012,0
30.012,0
30.012,0
30.012,0
30.012,0
30.012,0
30.012,0
30.012,0
30.012,0
30.012,0
30.012,0
30.012,0
30.012,0
30.012,0
30.012,0
30.012,0
30.012,0
30.012,0
30.012,0
30.012,0
30.012,0
30.012,0
30.012,0
30.012,0
30.012,0
30.012,0
30.012,0
30.012,0
30.012,0
30.012,0
30.012,0
30.012,0
30.012,0
30.012,0
30.012,0
30.012,0
30.012,0
30.012,0
30.012,0
30.012,0
30.012,0
30.012,0
30.012,0
30.012,0
30.012,0
30.012,0
30.012,0
30.012,0
30.012,0
30.012,0
30.012,0
30.012,0
30.012,0
30.012,0
30.012,0
30.012,0
30.012,0
30.012,0
30.012,0
30.012,0
30.012,0
30.012,0
30.012,0
30.012,0
30.012,0
30.012,0
30.012,0
30.012,0
30.012,0
